Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Slc36a2,Upk3b,ENSG00000243566
Loxl4,Rbm5,ENSG00000003756
Rasgrf1,Ncf1,ENSG00000158517
Mipol1,Polm,ENSG00000122678
Uqcrc2,Ltb4r1,not found
Hdhd3,Pld2,ENSG00000129219
Cic,Apoc1,ENSG00000130208
Bloc1s6,Ephx2,ENSG00000120915
Mid1ip1,Npr3,ENSG00000113389
Txndc16,Trim7,ENSG00000146054
Lrrtm4,Ccr1,ENSG00000163823
Rnf180,Ccnl2,ENSG00000221978
Ssh3,Serpina3n,ENSG00000196136
Hibch,6330418K02Rik,not found
Ogt,Npl,ENSG00000135838
Camsap1,Pmepa1,ENSG00000124225
Gm6644,Kif5c,ENSG00000168280
Zfp518a,Sema3c,ENSG00000075223
Apba3,Exoc6,ENSG00000138190
Psmf1,Usf2,ENSG00000105698
Lztfl1,Snai1,ENSG00000124216
4921536K21Rik,Decr1,ENSG00000104325
Msrb2,Pfdn2,ENSG00000143256
Prcp,Clhc1,ENSG00000162994
Dll1,Zfp472,not found
Mnat1,Gm4841,not found
Sec14l2,Slc16a1,ENSG00000155380
Peli3,Arg2,ENSG00000081181
BC055324,Irf2bp1,ENSG00000170604
Myom3,Slc36a2,ENSG00000186335
Psen2,Cdk3-ps,ENSG00000250506
Med12,E2f4,ENSG00000205250
Rfx1,Fgf10,ENSG00000070193
Zfp3,Wnt10b,ENSG00000169884
Tpd52,Wdr91,ENSG00000105875
Ankrd35,Jdp2,ENSG00000140044
Col5a3,Hdhd3,ENSG00000119431
Gpr35,Mipol1,ENSG00000151338
Tmem254b,Rasgrf1,ENSG00000058335
Bcl2l1,Mid1ip1,ENSG00000165175
Trmt2a,Uqcrc2,ENSG00000140740
Setd1b,Bloc1s6,ENSG00000104164
Arxes1,Txndc16,ENSG00000087301
Gin1,Gm6644,not found
Gpr137b-ps,Cic,ENSG00000079432
Gmfg,Rnf180,ENSG00000164197
Spryd7,Ssh3,ENSG00000172830
Pfas,Hibch,ENSG00000198130
Tjap1,Zfp518a,ENSG00000177853
Foxc2,Lrrtm4,ENSG00000176204
C1rl,Ogt,ENSG00000147162
Tfe3,4921536K21Rik,ENSG00000187658
Bcl6,Myocd,ENSG00000141052
Dynlt3,Prcp,ENSG00000137509
Pim2,Msrb2,ENSG00000148450
Jazf1,Apba3,ENSG00000011132
Fcrla,Loxl4,ENSG00000138131
Mctp1,Psmf1,ENSG00000125818
Hs3st3a1,Lztfl1,ENSG00000163818
Wisp2,Sec14l2,ENSG00000100003
Frzb,Dll1,ENSG00000198719
Timm10b,Psen2,ENSG00000143801
AK010878,Myom3,ENSG00000142661
Sltm,Zfp3,ENSG00000180787
Hs3st3b1,Camsap1,ENSG00000130559
Usp17la,Rfx1,ENSG00000132005
Lphn2,Med12,ENSG00000184634
Klhdc2,Ankrd35,ENSG00000198483
H2-Ob,Tpd52,ENSG00000076554
Sap30,Mnat1,ENSG00000164134
Lag3,Peli3,ENSG00000174516
Ltbp1,Gpr137b-ps,not found
Mef2c,Gpr35,ENSG00000178623
Tnnt1,Col5a3,ENSG00000080573
Adrbk1,Trmt2a,ENSG00000099899
Trp53i11,Arxes1,ENSG00000129128
Sdc4,Gmfg,ENSG00000130755
Msr1,Gin1,ENSG00000145723
Nostrin,Spryd7,ENSG00000123178
Dpysl5,Foxc2,ENSG00000176692
Col9a2,Pfas,ENSG00000178921
Tnfrsf9,C1rl,ENSG00000139178
Klhl5,Tjap1,ENSG00000137221
Tnip3,Tmem254b,ENSG00000133678
Gyk,Setd1b,ENSG00000139718
Cmc2,Pim2,ENSG00000102096
Pold2,Tfe3,ENSG00000068323
Dnph1,Fcrla,ENSG00000132185
Tnxb,Timm10b,not found
Kif5a,Dynlt3,ENSG00000165169
Syngap1,Jazf1,ENSG00000153814
Pim3,Bcl2l1,ENSG00000171552
Klf13,BC055324,error - retries exceeded
Casp7,Mctp1,ENSG00000175471
1810041L15Rik,Wisp2,ENSG00000064205
Vopp1,Bcl6,ENSG00000113916
Egr1,Frzb,ENSG00000162998
Sbspon,Usp17la,not found
Plekhh3,Sltm,ENSG00000137776
Uaca,H2-Ob,ENSG00000241106
Smim24,Klhdc2,ENSG00000165516
Pip5k1b,Lag3,ENSG00000089692
Cyp2a5,Mef2c,ENSG00000081189
Acta2,Adrbk1,ENSG00000173020
AA986860,Ltbp1,ENSG00000049323
Cc2d1a,Tnnt1,ENSG00000105048
Sorbs1,Hs3st3b1,ENSG00000125430
Tdrp,Msr1,ENSG00000038945
Gm7334,Sap30,ENSG00000164105
Mapkbp1,Nostrin,ENSG00000163072
Coq5,Lphn2,ENSG00000117114
Gbp4,Trp53i11,ENSG00000175274
Zfp444,Cmc2,not found
Manf,Tnip3,ENSG00000050730
BC053749,Hs3st3a1,ENSG00000153976
Cers4,Dpysl5,ENSG00000157851
Aasdh,Klhl5,ENSG00000109790
Chd6,Pold2,ENSG00000106628
Mag,Tnfrsf9,ENSG00000049249
Zfp712,Gyk,ENSG00000198814
Eif2s3x,Gyk,ENSG00000229894
Ly6a,Dnph1,ENSG00000112667
Ctps,Col9a2,ENSG00000049089
Snhg11,Sdc4,ENSG00000124145
Cldn15,Pim3,ENSG00000198355
A930001C03Rik,Tnxb,ENSG00000168477
Cd8b1,1810041L15Rik,ENSG00000138944
Gdap10,Vopp1,ENSG00000154978
Ddx41,AK010878,error - retries exceeded
Glt8d2,Syngap1,ENSG00000197283
Tnfrsf1b,Smim24,ENSG00000095932
Esrp2,Klf13,ENSG00000169926
4933407K13Rik,Acta2,ENSG00000107796
Cish,Cyp2a5,ENSG00000255974
Iqgap2,Cyp2a5,ENSG00000198077
Treml4,Cyp2a5,ENSG00000197838
Aff3,Kif5a,ENSG00000155980
Zdhhc18,Plekhh3,ENSG00000068137
Vwa7,Gm7334,not found
Zfp771,Uaca,ENSG00000137831
Slc31a2,Casp7,ENSG00000165806
Mctp2,AA986860,ENSG00000182795
Hoxb7,Pip5k1b,ENSG00000107242
Hlf,Egr1,ENSG00000120738
Slc43a1,Cc2d1a,ENSG00000132024
Midn,Tdrp,ENSG00000180190
Camp,Mapkbp1,ENSG00000137802
Pttg1,Sbspon,ENSG00000164764
Bank1,Sorbs1,ENSG00000095637
Rps6kl1,Coq5,ENSG00000110871
Cbx7,Gbp4,ENSG00000183347
4933406C10Rik,Ly6a,ENSG00000291309
Mcoln2,Zfp712,ENSG00000213799
Opn3,Snhg11,not found
Rnf38,Mag,not found
Fam101a,Manf,ENSG00000145050
Cldn5,A930001C03Rik,not found
Msl1,Aasdh,ENSG00000157426
Apob,Cers4,ENSG00000090661
Traf3ip2,Zfp444,ENSG00000167685
Mllt6,Eif2s3x,ENSG00000180574
Tmem47,Cd8b1,ENSG00000172116
Cbwd1,Cd8b1,ENSG00000254126
Herc3,4933407K13Rik,not found
Gria1,Ctps,ENSG00000171793
Mesp2,Cldn15,ENSG00000106404
Fndc3c1,Treml4,ENSG00000188056
Atp6v0e2,Esrp2,ENSG00000103067
Wif1,Iqgap2,ENSG00000145703
Tnnt3,Cish,ENSG00000114737
Hbb-b1,Aff3,ENSG00000144218
Col13a1,Chd6,ENSG00000124177
Ntn1,Tnfrsf1b,ENSG00000028137
Soat2,Vwa7,ENSG00000204396
Lrtm2,Zfp771,ENSG00000179965
Nfxl1,Ddx41,ENSG00000183258
Emc4,Zdhhc18,ENSG00000204160
Pde7b,Slc31a2,ENSG00000136867
Sh3gl3,Glt8d2,ENSG00000120820
Slc6a4,Hoxb7,ENSG00000260027
2700038G22Rik,Mctp2,ENSG00000140563
Tmem80,Midn,ENSG00000167470
Rab40c,4933406C10Rik,not found
Pdgfra,Pttg1,ENSG00000250254
Astn1,Pttg1,ENSG00000164611
Agfg2,Slc43a1,ENSG00000149150
Rabgef1,Camp,ENSG00000168899
Cdk2,Bank1,ENSG00000153064
Traf4,Cbx7,ENSG00000100307
Pamr1,Opn3,ENSG00000054277
Il10rb,Mcoln2,ENSG00000153898
Helz2,Rps6kl1,ENSG00000198208
Fam177a,BC053749,error - retries exceeded
1700047I17Rik2,Fam101a,ENSG00000178882
Cnn1,Gdap10,error - retries exceeded
Ablim1,Cldn5,ENSG00000184113
Thbs2,Rnf38,ENSG00000137075
Clec4a1,Msl1,ENSG00000188895
Bnc1,Traf3ip2,ENSG00000056972
Ccdc184,Cbwd1,ENSG00000215126
Add3,Cbwd1,ENSG00000147996
Fam221a,Cbwd1,ENSG00000196873
Mafk,Tmem47,ENSG00000147027
Thumpd3,Mllt6,ENSG00000275023
Txndc9,Hbb-b1,not found
Igfbp6,Gria1,ENSG00000155511
Fam20a,Atp6v0e2,ENSG00000171130
Med26,Wif1,ENSG00000156076
9030617O03Rik,Fndc3c1,not found
Ano9,Tnnt3,ENSG00000130595
Rragb,Soat2,ENSG00000167780
5430416O09Rik,Herc3,ENSG00000138641
Maf,Col13a1,ENSG00000197467
Ppp3cc,Hlf,ENSG00000116016
Scn3a,Mesp2,ENSG00000188095
Itfg1,Emc4,ENSG00000128463
Thap1,Nfxl1,ENSG00000170448
Csrp2bp,Pde7b,ENSG00000171408
Nhlrc1,Lrtm2,ENSG00000166159
Lix1,2700038G22Rik,not found
Slc14a1,Apob,ENSG00000084674
Lmo4,Pdgfra,ENSG00000134853
Chst4,Tmem80,ENSG00000177042
Slc2a4,Slc6a4,ENSG00000108576
Taf7,Sh3gl3,ENSG00000140600
Ttll4,Astn1,ENSG00000152092
Nhlrc2,Rabgef1,ENSG00000154710
Igsf6,Cdk2,ENSG00000123374
Col24a1,Traf4,ENSG00000076604
Unc5a,Pamr1,ENSG00000149090
Trpc2,Il10rb,ENSG00000243646
Trib1,Rab40c,ENSG00000197562
Omd,Ntn1,ENSG00000065320
Mamdc4,Helz2,ENSG00000130589
Ephx1,Agfg2,ENSG00000106351
Ift88,Cnn1,ENSG00000130176
Mier2,Fam177a,ENSG00000151327
Tmem51,1700047I17Rik2,ENSG00000151327
Prr15l,Ccdc184,ENSG00000177875
Lrrc8d,Thbs2,ENSG00000186340
Zfp958,Fam221a,ENSG00000188732
Eapp,Txndc9,ENSG00000115514
Ssh2,Ablim1,ENSG00000099204
Gmip,Thumpd3,ENSG00000134077
Spg7,Igfbp6,ENSG00000167779
Uhrf2,Add3,ENSG00000148700
C77080,Clec4a1,ENSG00000111729
Slc2a3,5430416O09Rik,ENSG00000235387
Plod2,Fam20a,ENSG00000108950
Cnn3,Rragb,ENSG00000083750
Ipcef1,Med26,ENSG00000105085
Tmem178,Bnc1,ENSG00000108684
Neurl4,Mafk,ENSG00000198517
Thbd,Ano9,ENSG00000185101
4933439C10Rik,Scn3a,ENSG00000153253
1110058L19Rik,Thap1,ENSG00000131931
Ufm1,9030617O03Rik,ENSG00000133943
Ctsw,Maf,ENSG00000178573
Il33,Chst4,ENSG00000140835
Samd14,Csrp2bp,ENSG00000149474
Ppl,Lmo4,ENSG00000143013
Hpx,Slc14a1,ENSG00000141469
Doc2a,Slc2a4,ENSG00000181856
Lamc3,Nhlrc1,ENSG00000187566
Pira6,Ppp3cc,ENSG00000120910
Sox8,Col24a1,not found
Pam,Ttll4,ENSG00000135912
Tmem259,Lix1,ENSG00000145721
Osmr,Nhlrc2,ENSG00000196865
Exoc3,Itfg1,ENSG00000129636
Ap4m1,Omd,ENSG00000127083
Tmem220,Igsf6,ENSG00000140749
Ubash3b,Taf7,ENSG00000178913
Elk3,Prr15l,ENSG00000167183
Eif4ebp1,Unc5a,ENSG00000113763
A630001G21Rik,Mamdc4,ENSG00000177943
Vps18,Ephx1,ENSG00000143819
Akt2,Mier2,ENSG00000105556
Zfand2a,Lrrc8d,ENSG00000171492
Cdo1,Tmem51,ENSG00000171729
Mlxip,Zfp958,not found
H2afy,Eapp,ENSG00000129518
Nr1d2,Gmip,ENSG00000089639
Tead2,Spg7,ENSG00000197912
Ch25h,Uhrf2,ENSG00000147854
Ntn4,C77080,ENSG00000162522
Clic1,Slc2a3,not found
Fig4,Ipcef1,ENSG00000074706
Rgs2,Ssh2,ENSG00000141298
Pstpip1,Thbd,ENSG00000178726
Wnt2b,Plod2,ENSG00000152952
Lpar4,Trib1,ENSG00000173334
Ccdc92,4933439C10Rik,not found
Tnfsf13,Il33,ENSG00000137033
Tgfbr3,Neurl4,ENSG00000215041
Alkbh4,Ift88,ENSG00000032742
Cml1,1110058L19Rik,ENSG00000154079
Zfp276,Pira6,ENSG00000186818
Cog8,Pira6,ENSG00000204577
Ptdss1,Pira6,ENSG00000244482
Ccdc36,Pira6,ENSG00000187116
Arhgef39,Pira6,ENSG00000105609
Dmd,Pira6,ENSG00000239961
Arhgap44,Lamc3,ENSG00000050555
Gmpr2,Samd14,ENSG00000167100
S1pr1,Sox8,ENSG00000005513
Phf12,Ppl,ENSG00000118898
Trim54,Ufm1,ENSG00000120686
AA467197,Tmem178,ENSG00000152154
Pld6,Hpx,ENSG00000110169
Gng10,Cnn3,ENSG00000117519
Cybb,Tmem220,ENSG00000187824
Rab39b,Tmem259,ENSG00000182087
Maz,Osmr,ENSG00000145623
Tusc3,Ap4m1,ENSG00000221838
Gm5595,Eif4ebp1,ENSG00000187840
Pcdh7,A630001G21Rik,not found
Tldc1,Elk3,ENSG00000111145
Asz1,Akt2,ENSG00000105221
Tal1,Zfand2a,ENSG00000178381
Anks1,Ctsw,ENSG00000172543
Zfp619,Cdo1,ENSG00000129596
Gpr156,Doc2a,ENSG00000149927
D17Wsu104e,Mlxip,ENSG00000175727
Zfp605,Tead2,ENSG00000074219
Mogs,Ch25h,ENSG00000138135
Scamp3,Exoc3,ENSG00000180104
Psmb9,Ubash3b,ENSG00000154127
Glrb,H2afy,ENSG00000113648
Vegfb,Ntn4,ENSG00000074527
Enc1,Nr1d2,ENSG00000174738
2410004B18Rik,Vps18,ENSG00000104142
Icam2,Fig4,ENSG00000112367
Metap1,Lpar4,ENSG00000147145
Ccdc97,Rgs2,ENSG00000116741
Gemin8,Ccdc92,ENSG00000119242
Smox,Pam,ENSG00000005810
Ebf4,Tgfbr3,ENSG00000069702
Slc24a2,Cml1,ENSG00000204872
Acoxl,Cml1,ENSG00000144035
Tmem151a,Tnfsf13,ENSG00000161955
Adhfe1,Zfp276,ENSG00000158805
Drap1,Wnt2b,ENSG00000134245
Lrp8,Ccdc36,ENSG00000173421
Robo4,Clic1,ENSG00000213719
Zim1,Ptdss1,ENSG00000156471
Prrt2,Cog8,ENSG00000213380
Tmem102,Alkbh4,ENSG00000160993
Zrsr1,Arhgef39,ENSG00000137135
Otx1,Pstpip1,ENSG00000140368
Pnrc1,Gmpr2,ENSG00000100938
Stk11,S1pr1,ENSG00000170989
Wdr92,Pld6,ENSG00000179598
A630033H20Rik,Trim54,ENSG00000138100
Cramp1l,AA467197,ENSG00000166920
Phf21b,Gng10,ENSG00000242616
Prkg2,Cybb,ENSG00000165168
Akr1c14,Dmd,ENSG00000198947
Tifa,Gm5595,not found
Zfp820,Tusc3,ENSG00000104723
A230072C01Rik,Rab39b,ENSG00000155961
Slc15a3,Tldc1,ENSG00000140950
Itih3,Tal1,ENSG00000162367
Mfsd2b,Maz,ENSG00000103495
Ttc8,Arhgap44,ENSG00000006740
Ltv1,Pcdh7,ENSG00000169851
Bach2,Zfp619,ENSG00000267041
Nr3c2,Phf12,ENSG00000109118
Apold1,Zfp605,ENSG00000196458
Myh11,Anks1,ENSG00000064999
Podxl,D17Wsu104e,ENSG00000074842
Ppp1r9b,Asz1,ENSG00000154438
Npas3,Mogs,ENSG00000115275
Bspry,Psmb9,ENSG00000240065
Slc25a24,Icam2,ENSG00000108622
4933426M11Rik,2410004B18Rik,ENSG00000162642
Ica1,Vegfb,ENSG00000173511
Rexo4,Glrb,ENSG00000109738
Pigp,Gpr156,ENSG00000175697
Scn2a1,Enc1,ENSG00000171617
Gpsm2,Metap1,ENSG00000164024
Tbc1d10b,Ccdc97,ENSG00000142039
Pan2,Smox,ENSG00000088826
Pth1r,Adhfe1,ENSG00000147576
Tmem194b,Acoxl,ENSG00000153093
Pstk,Gemin8,ENSG00000046647
Olfml2b,Prrt2,ENSG00000167371
Tcof1,Zrsr1,not found
Pddc1,Scamp3,ENSG00000116521
Trip4,Tmem102,ENSG00000181284
Gcc2,Robo4,ENSG00000154133
Lcp2,Tmem151a,ENSG00000179292
Lsm14b,Slc24a2,ENSG00000155886
Fli1,Pnrc1,ENSG00000146278
Ppm1e,A630033H20Rik,not found
Ikbkg,Otx1,ENSG00000115507
Eml1,Ebf4,ENSG00000088881
Cpne8,Zim1,not found
C1qtnf7,Drap1,ENSG00000175550
Psmc2,A230072C01Rik,not found
Pde10a,Stk11,ENSG00000118046
Nfam1,Phf21b,ENSG00000056487
Pdzrn4,Cramp1l,ENSG00000007545
Fopnl,Zfp820,ENSG00000196378
Zfp64,Slc15a3,ENSG00000110446
Olfr1372-ps1,Prkg2,ENSG00000138669
Dnm1l,Wdr92,ENSG00000243667
Pou2f2,Tifa,ENSG00000145365
Fgf11,Mfsd2b,ENSG00000205639
Pacrgl,Itih3,ENSG00000162267
Fendrr,Bach2,ENSG00000112182
Slc22a4,Lrp8,ENSG00000157193
Kmt2a,Nr3c2,ENSG00000151623
Mansc1,Podxl,ENSG00000128567
Zfp606,Bspry,ENSG00000119411
Gnb4,Myh11,ENSG00000133392
Stx11,Ltv1,ENSG00000135521
Vbp1,Ttc8,ENSG00000165533
Nkx2-1,Ppp1r9b,ENSG00000108819
Sbno2,Apold1,ENSG00000178878
Prss12,Npas3,ENSG00000151322
Prr3,Rexo4,ENSG00000148300
Irf2bp2,Akr1c14,not found
Nup62cl,4933426M11Rik,ENSG00000100647
Eif2s3y,Gpsm2,ENSG00000121957
Ptms,Scn2a1,ENSG00000136531
Rilpl2,Ica1,ENSG00000003147
Neat1,Tbc1d10b,ENSG00000169221
Smim3,Pddc1,ENSG00000177225
Selenbp2,Tcof1,ENSG00000070814
Syne4,Tmem194b,ENSG00000189362
Pnpt1,Slc25a24,ENSG00000085491
Mamdc2,Pth1r,ENSG00000160801
Abcd2,Pstk,ENSG00000179988
Eif5a2,Pigp,ENSG00000185808
Pcnxl3,Trip4,ENSG00000103671
Myd88,Olfml2b,ENSG00000162745
Igsf8,Lcp2,ENSG00000043462
Ints12,Fli1,ENSG00000151702
Dner,Gcc2,ENSG00000135968
B4galt3,Ppm1e,ENSG00000175175
Cthrc1,Ikbkg,ENSG00000269335
Phf23,Eml1,ENSG00000066629
Tceanc2,C1qtnf7,ENSG00000163145
Pyurf,Cpne8,ENSG00000139117
Taf1a,Psmc2,ENSG00000161057
4931414P19Rik,Nfam1,ENSG00000235568
Lrrn4,Fopnl,ENSG00000133393
Foxl1,Lsm14b,ENSG00000149657
Gm9079,Pde10a,ENSG00000112541
Evi2b,Fgf11,ENSG00000161958
Myoz3,Pou2f2,ENSG00000028277
Pde3a,Dnm1l,ENSG00000087470
Ralgapa1,Zfp64,ENSG00000020256
Cep83os,Pacrgl,ENSG00000163138
Cd244,Zfp606,ENSG00000166704
Il34,Slc22a4,ENSG00000197208
Surf2,Fendrr,not found
Sco2,Gnb4,ENSG00000114450
Tecpr1,Pdzrn4,ENSG00000165966
Rtp3,Kmt2a,ENSG00000118058
Tbccd1,Vbp1,ENSG00000155959
Glis2,Nkx2-1,ENSG00000136352
Cacna1d,Prr3,ENSG00000204576
Glrx,Ptms,not found
Skint3,Mansc1,ENSG00000111261
Eps8l1,Sbno2,ENSG00000064932
Sptbn2,Stx11,ENSG00000135604
2810403A07Rik,Prss12,ENSG00000164099
Zc3h3,Smim3,ENSG00000256235
Epha7,Nup62cl,ENSG00000198088
Tbx18,Syne4,ENSG00000181392
Vps4b,Pan2,ENSG00000240857
Neil3,Rilpl2,ENSG00000150977
Gm1821,Neat1,not found
Axin1,Irf2bp2,ENSG00000168264
Sae1,Eif2s3y,not found
Lekr1,Pnpt1,ENSG00000138035
Ccr2,Abcd2,ENSG00000173208
Lmcd1,Igsf8,ENSG00000162729
Fgf18,Myd88,ENSG00000172936
Aars2,Mamdc2,ENSG00000165072
Gigyf2,Eif5a2,ENSG00000163577
Lama5,Ints12,ENSG00000138785
AI317395,Selenbp2,ENSG00000143416
Dcbld1,Dner,ENSG00000187957
Meis3,Olfr1372-ps1,error - retries exceeded
Nat14,4931414P19Rik,ENSG00000100802
Adat2,Cthrc1,ENSG00000164932
Gpr176,Phf23,ENSG00000040633
Trrap,B4galt3,ENSG00000158850
Slc25a28,Tceanc2,ENSG00000116205
Cpsf6,Pcnxl3,ENSG00000197136
Ky,Taf1a,ENSG00000143498
Zfp146,Evi2b,ENSG00000185862
Myo3b,Cep83os,not found
Higd2a,Lrrn4,ENSG00000125872
Whrn,Il34,ENSG00000157368
Gm11696,Cd244,ENSG00000122223
Mmp19,Myoz3,ENSG00000164591
Dot1l,Foxl1,ENSG00000176678
Nelfcd,Sco2,ENSG00000284194
Slc9a2,Pde3a,ENSG00000172572
Fstl3,Surf2,ENSG00000148291
Gm15645,Ralgapa1,ENSG00000174373
Sost,Skint3,not found
Vsnl1,Tecpr1,ENSG00000205356
Sf3a2,Tbccd1,ENSG00000113838
Nubpl,Glis2,ENSG00000126603
Hoxd8,Rtp3,ENSG00000163825
Slc12a9,Glrx,ENSG00000173221
Rftn1,Epha7,ENSG00000135333
Snrnp70,Gm1821,not found
1700023L04Rik,2810403A07Rik,ENSG00000132680
Exoc7,Zc3h3,ENSG00000014164
Xpo6,Sptbn2,ENSG00000173898
Pax5,Eps8l1,ENSG00000131037
Atp6v1f,Vps4b,ENSG00000119541
Ablim2,Neil3,ENSG00000109674
Prune2,Lekr1,ENSG00000197980
Aida,Sae1,ENSG00000142230
Taf1b,Fgf18,ENSG00000156427
Vpreb3,Tbx18,ENSG00000112837
Appl1,Axin1,ENSG00000103126
Dcaf17,Cacna1d,ENSG00000157388
Ostm1,Aars2,ENSG00000124608
Suv39h2,Gigyf2,ENSG00000204120
Fmo3,Nat14,ENSG00000090971
2510009E07Rik,AI317395,ENSG00000173214
Men1,Adat2,ENSG00000189007
Rab3il1,Ccr2,ENSG00000121807
Plekhg3,Lmcd1,ENSG00000071282
Steap1,Lama5,ENSG00000130702
Tnfrsf21,Gm9079,error - retries exceeded
Efcab4b,Gpr176,ENSG00000166073
H2-Q2,Cpsf6,ENSG00000111605
St3gal6,Zfp146,ENSG00000167635
Slc2a1,Ky,ENSG00000174611
Sh3bp2,Trrap,ENSG00000196367
Ddx3y,Slc25a28,ENSG00000155287
Msln,Gm11696,not found
Bub1b,Meis3,ENSG00000105419
Gm7120,Gm15645,not found
Casp8,Myo3b,ENSG00000071909
Cox7a1,Whrn,ENSG00000095397
Hspa12b,Mmp19,ENSG00000123342
Pcnt,Nelfcd,ENSG00000101158
Arl8a,Dot1l,ENSG00000104885
Serpind1,Dcbld1,ENSG00000164465
5930430L01Rik,Fstl3,ENSG00000070404
Ier5,Vsnl1,ENSG00000163032
Csf1,1700023L04Rik,not found
Pla2g4f,Higd2a,ENSG00000175202
Fam107b,Higd2a,ENSG00000146066
4732471J01Rik,Slc9a2,ENSG00000115616
Srsf9,Sost,ENSG00000167941
Dynlt1a,Sf3a2,ENSG00000104897
Pet112,Hoxd8,ENSG00000175879
Syn3,Nubpl,ENSG00000151413
Ikbkap,Snrnp70,ENSG00000104852
Suclg1,Pax5,ENSG00000196092
Plac9a,Xpo6,ENSG00000169180
Zbtb6,Exoc7,ENSG00000182473
Tmem258,Ablim2,ENSG00000163995
Ctla2b,Rftn1,ENSG00000131378
Zmat1,Vpreb3,ENSG00000128218
Slc29a2,Atp6v1f,ENSG00000128524
Fgf9,Taf1b,ENSG00000115750
Cilp,Aida,ENSG00000186063
Masp1,Slc12a9,ENSG00000146828
Spdya,Suv39h2,ENSG00000152455
Yeats2,Appl1,ENSG00000157500
Cul2,Fmo3,ENSG00000007933
Cnbd2,Prune2,ENSG00000106772
Palmd,Ostm1,ENSG00000081087
Fip1l1,H2-Q2,not found
Tmem110,2510009E07Rik,ENSG00000187068
Bcl7a,Steap1,ENSG00000164647
Otud5,Steap1,ENSG00000105889
Vegfc,St3gal6,ENSG00000064225
Ankrd54,Plekhg3,ENSG00000126822
Cdc42se1,Men1,ENSG00000133895
Nsun5,Tnfrsf21,ENSG00000146072
Slc2a4rg-ps,Efcab4b,ENSG00000130038
Rhobtb1,Dcaf17,ENSG00000115827
Rgag1,Msln,ENSG00000102854
Tmem45a,Casp8,ENSG00000064012
Havcr2,Cox7a1,ENSG00000161281
Slco3a1,Rab3il1,ENSG00000167994
Khnyn,Sh3bp2,ENSG00000087266
Brpf3,Ddx3y,ENSG00000067048
Tab2,Gm7120,ENSG00000151881
Adprh,Hspa12b,ENSG00000132622
Arsi,5930430L01Rik,not found
Sult1d1,4732471J01Rik,not found
Dusp3,Arl8a,ENSG00000143862
Clcn4-2,Csf1,ENSG00000184371
Usp10,Pcnt,ENSG00000160299
Ccdc89,Bub1b,ENSG00000156970
Tmem25,Ier5,ENSG00000162783
Vipr1,Srsf9,ENSG00000111786
Adcy4,Dynlt1a,ENSG00000146425
Slc6a2,Pla2g4f,ENSG00000168907
Creb3l1,Plac9a,ENSG00000189129
Unc5b,Slc2a1,ENSG00000117394
Nov,Pet112,ENSG00000059691
Iffo1,Serpind1,ENSG00000099937
Scin,Zbtb6,ENSG00000186130
Rnf152,Fam107b,ENSG00000065809
Oacyl,Ctla2b,not found
Recql,Suclg1,ENSG00000163541
Ocln,Fgf9,ENSG00000102678
Mettl9,Tmem258,ENSG00000134825
Spib,Ikbkap,ENSG00000070061
Alox5,Zmat1,ENSG00000166432
Suv420h2,Spdya,ENSG00000163806
Prr12,Cnbd2,ENSG00000149646
Mn1,Masp1,ENSG00000127241
Gatm,Fip1l1,not found
Slc5a8,Cul2,ENSG00000108094
Nptxr,Palmd,ENSG00000099260
Ccdc9,Syn3,ENSG00000185666
Cep290,Tmem110,ENSG00000213533
Sync,Slc2a4rg-ps,not found
Gins3,Bcl7a,ENSG00000110987
Cxxc4,Slc29a2,ENSG00000174669
Nr1h2,Cilp,ENSG00000138615
Basp1,Otud5,ENSG00000068308
Polrmt,Cdc42se1,ENSG00000197622
4833412C05Rik,Yeats2,ENSG00000163872
Dusp26,Rgag1,ENSG00000243978
Vps35,Nsun5,ENSG00000130305
Abcc5,Khnyn,ENSG00000100441
Hdac4,Havcr2,ENSG00000135077
Degs2,Rhobtb1,ENSG00000072422
Abca8a,Tmem45a,ENSG00000181458
BC018242,Dusp3,not found
Ntrk3,Ankrd54,ENSG00000100124
Frat1,Arsi,ENSG00000183876
Entpd7,Slco3a1,ENSG00000176463
Zfp110,Tab2,ENSG00000055208
Tmem255a,Sult1d1,not found
Ap5s1,Brpf3,ENSG00000096070
Jmjd7,Ccdc89,ENSG00000179071
4930579G24Rik,Clcn4-2,ENSG00000073464
Snhg8,Tmem25,ENSG00000149582
Bin2,Vegfc,ENSG00000150630
Plekhj1,Adcy4,ENSG00000129467
Snx10,Adprh,ENSG00000144843
Numbl,Creb3l1,ENSG00000157613
AA987161,Slc6a2,ENSG00000103546
Slc41a3,Vipr1,ENSG00000114812
Slc23a2,Usp10,ENSG00000103194
Il2rg,Oacyl,not found
Sh3d21,Spib,ENSG00000269404
Fbxo34,Scin,ENSG00000006747
Nrxn1,Nov,ENSG00000114554
Snx15,Mettl9,ENSG00000197006
Fbxl2,Ocln,ENSG00000197822
Fam132b,Alox5,ENSG00000012779
AU022754,Unc5b,ENSG00000107731
Snhg18,Rnf152,ENSG00000176641
Mgl2,Suv420h2,ENSG00000133247
Tmem66,Gatm,ENSG00000171766
Mfsd6,Mn1,ENSG00000169184
H1fx,Nptxr,ENSG00000221890
Exo1,Recql,ENSG00000004700
Gm11127,Sync,ENSG00000162520
