Mouse Genes Ranked,Mouse Genes Unranked,Human Ortholog Symbol
Snai1,Pak1,ENSG00000149269
Gm4841,Rab11b,ENSG00000185236
Arg2,Kctd12,ENSG00000178695
Irf2bp1,Polr3k,ENSG00000161980
Myocd,Cse1l,ENSG00000124207
Fgf10,Dyrk1a,ENSG00000157540
Zfp472,Rbbp5,ENSG00000117222
Jdp2,Ankrd52,ENSG00000139645
Wdr91,Kcnk12,ENSG00000184261
Wnt10b,Eef2,ENSG00000167658
Cdk3-ps,Kbtbd4,ENSG00000123444
Slc36a2,Hnrnpa1,ENSG00000224578
Loxl4,Tead1,ENSG00000187079
Rasgrf1,Psmd1,ENSG00000173692
Mipol1,Eif2s1,ENSG00000134001
Uqcrc2,Gsk3b,ENSG00000082701
Hdhd3,Pls3,ENSG00000102024
Cic,Bzw2,ENSG00000136261
Bloc1s6,Fem1b,ENSG00000169018
Mid1ip1,Cyfip1,ENSG00000273749
Txndc16,Prpf4,ENSG00000136875
Lrrtm4,Rab6a,ENSG00000175582
Rnf180,Pcbd1,ENSG00000166228
Ssh3,Pip4k2b,ENSG00000276293
Hibch,Abcf2,ENSG00000033050
Ogt,Nfyb,ENSG00000120837
Camsap1,Nkain1,ENSG00000084628
Gm6644,Syngap1,ENSG00000197283
Zfp518a,Rab18,ENSG00000099246
Apba3,Tbl1xr1,ENSG00000177565
Psmf1,Arcn1,ENSG00000095139
Lztfl1,Atp6v1b2,ENSG00000147416
4921536K21Rik,Rps5,ENSG00000083845
Msrb2,Gdf11,ENSG00000135414
Prcp,Rasl10b,ENSG00000270885
Dll1,Lrrc8a,ENSG00000136802
Mnat1,Cript,ENSG00000119878
Sec14l2,Grik2,ENSG00000164418
Peli3,Srp54c,ENSG00000100883
BC055324,Runx1t1,ENSG00000079102
Myom3,Tmed2,ENSG00000086598
Psen2,Cyth3,ENSG00000008256
Med12,Prkcg,ENSG00000126583
Rfx1,Cdk2,ENSG00000123374
Zfp3,Sar1b,ENSG00000152700
Tpd52,Zfp207,ENSG00000010244
Ankrd35,Pa2g4,ENSG00000170515
Col5a3,Map2k1,ENSG00000169032
Gpr35,Patz1,ENSG00000100105
Tmem254b,Chp1,ENSG00000187446
Bcl2l1,Ssu72,ENSG00000160075
Trmt2a,Egr3,ENSG00000179388
Setd1b,Ergic1,ENSG00000113719
Arxes1,Car8,ENSG00000178538
Gin1,Ube2e1,ENSG00000170142
Gpr137b-ps,Msl2,ENSG00000174579
Gmfg,Tle3,ENSG00000140332
Spryd7,Strbp,ENSG00000165209
Pfas,Rac2,ENSG00000128340
Tjap1,Trnau1ap,ENSG00000180098
Foxc2,Sec23a,ENSG00000100934
C1rl,Ago3,ENSG00000126070
Tfe3,Pdcd6,ENSG00000249915
Bcl6,Nkiras2,ENSG00000168256
Dynlt3,Lsm2,ENSG00000204392
Pim2,Rbm18,ENSG00000119446
Jazf1,Trim62,ENSG00000116525
Fcrla,Pknox2,ENSG00000165495
Mctp1,Ccnc,ENSG00000112237
Hs3st3a1,Nono,ENSG00000147140
Wisp2,Trappc5,ENSG00000181029
Frzb,Tra2a,ENSG00000164548
Timm10b,Actr1b,ENSG00000115073
AK010878,Rfx3,ENSG00000080298
Sltm,Cbfb,ENSG00000067955
Hs3st3b1,Tmeff2,ENSG00000144339
Usp17la,Smad5,ENSG00000113658
Lphn2,Cdk8,ENSG00000132964
Klhdc2,Sv2a,ENSG00000159164
H2-Ob,Fbxo11,ENSG00000138081
Sap30,Gpm6a,ENSG00000150625
Lag3,Ssr3,ENSG00000114850
Ltbp1,Gtf2h4,ENSG00000213780
Mef2c,Prpsap2,ENSG00000141127
Tnnt1,Atp1a3,ENSG00000105409
Adrbk1,Rheb,ENSG00000106615
Trp53i11,Has2,ENSG00000170961
Sdc4,S100b,ENSG00000160307
Msr1,Chrm1,ENSG00000168539
Nostrin,Pum1,ENSG00000134644
Dpysl5,Lamtor5,ENSG00000134248
Col9a2,Vps29,ENSG00000111237
Tnfrsf9,Slc6a8,ENSG00000130821
Klhl5,Eif4g2,ENSG00000110321
Tnip3,Tmem47,ENSG00000147027
Gyk,Arl1,ENSG00000120805
Cmc2,Exoc6b,ENSG00000144036
Pold2,Pitpna,ENSG00000174238
Dnph1,Hectd1,ENSG00000092148
Tnxb,Hoxb5,ENSG00000120075
Kif5a,Arl5a,ENSG00000162980
Syngap1,Ephb1,ENSG00000154928
Pim3,Gria3,ENSG00000125675
Klf13,Src,ENSG00000197122
Casp7,Grik5,ENSG00000105737
1810041L15Rik,Ddx41,ENSG00000183258
Vopp1,Paf1,ENSG00000006712
Egr1,Gucy1b3,ENSG00000061918
Sbspon,Thoc3,ENSG00000051596
Plekhh3,Wnt4,ENSG00000162552
Uaca,Csnk2a2,ENSG00000070770
Smim24,Psma4,ENSG00000041357
Pip5k1b,Ctdsp1,ENSG00000144579
Cyp2a5,Kpna4,ENSG00000186432
Acta2,Rnf165,ENSG00000141622
AA986860,Ago4,ENSG00000134698
Cc2d1a,Sf3b5,ENSG00000169976
Sorbs1,Ago2,ENSG00000123908
Tdrp,Actl6a,ENSG00000136518
Gm7334,Trim27,ENSG00000204713
Mapkbp1,Xab2,ENSG00000076924
Coq5,Rdh10,ENSG00000121039
Gbp4,Stk25,ENSG00000115694
Zfp444,Psma3,ENSG00000100567
Manf,Abhd2,ENSG00000140526
BC053749,Tnik,ENSG00000154310
Cers4,Ugp2,ENSG00000169764
Aasdh,Fgfr1op2,ENSG00000111790
Chd6,Clic4,ENSG00000169504
Mag,Csnk1a1,ENSG00000113712
Zfp712,Tbc1d22b,ENSG00000065491
Eif2s3x,Prkcb,ENSG00000166501
Ly6a,Anapc11,ENSG00000141552
Ctps,Hmbox1,ENSG00000147421
Snhg11,Ppfia2,ENSG00000139220
Cldn15,Ythdf3,ENSG00000185728
A930001C03Rik,Cetn3,ENSG00000153140
Cd8b1,Csnk1e,ENSG00000213923
Gdap10,Ppp2r5b,ENSG00000068971
Ddx41,Yy1,ENSG00000100811
Glt8d2,Cdc40,ENSG00000168438
Tnfrsf1b,Eif4h,ENSG00000106682
Esrp2,Ing4,ENSG00000111653
4933407K13Rik,Psma7,ENSG00000101182
Cish,Ywhab,ENSG00000166913
Iqgap2,Vps26a,ENSG00000122958
Treml4,Clk3,ENSG00000179335
Aff3,Snx12,ENSG00000147164
Zdhhc18,Mafg,ENSG00000197063
Vwa7,Cpne8,ENSG00000139117
Zfp771,Supt16,ENSG00000092201
Slc31a2,Lhx5,ENSG00000089116
Mctp2,Gne,ENSG00000159921
Hoxb7,Atp2a2,ENSG00000174437
Hlf,Ipo9,ENSG00000198700
Slc43a1,Ptges3,ENSG00000110958
Midn,Puf60,ENSG00000179950
Camp,Prkaa1,ENSG00000132356
Pttg1,Rragc,ENSG00000116954
Bank1,Cyth2,ENSG00000105443
Rps6kl1,Derl2,ENSG00000072849
Cbx7,Dedd,ENSG00000158796
4933406C10Rik,Prps2,ENSG00000101911
Mcoln2,Tln1,ENSG00000137076
Opn3,Ddx46,ENSG00000145833
Rnf38,Tmem127,ENSG00000135956
Fam101a,Maea,ENSG00000090316
Cldn5,Lrrc73,ENSG00000204052
Msl1,Cks2,ENSG00000123975
Apob,Cdc42se1,ENSG00000197622
Traf3ip2,Rnf166,ENSG00000158717
Mllt6,Naa40,ENSG00000110583
Tmem47,Camk2n2,ENSG00000163888
Cbwd1,Polr3f,ENSG00000132664
Herc3,Rbm24,ENSG00000112183
Gria1,Cadm1,ENSG00000182985
Mesp2,Scamp5,ENSG00000198794
Fndc3c1,Csnk2a1,ENSG00000101266
Atp6v0e2,Rprd1a,ENSG00000141425
Wif1,Papss1,ENSG00000138801
Tnnt3,Lmo1,ENSG00000166407
Hbb-b1,Prpf38a,ENSG00000134748
Col13a1,Dip2c,ENSG00000151240
Ntn1,Stk38,ENSG00000112079
Soat2,Klhl9,ENSG00000198642
Lrtm2,Tln2,ENSG00000171914
Nfxl1,Cpsf7,ENSG00000149532
Emc4,Gphn,ENSG00000171723
Pde7b,Nmnat2,ENSG00000157064
Sh3gl3,Ufd1l,ENSG00000070010
Slc6a4,Ormdl1,ENSG00000128699
2700038G22Rik,Pik3ca,ENSG00000121879
Tmem80,Brinp1,ENSG00000078725
Rab40c,Tsn,ENSG00000211460
Pdgfra,Triap1,ENSG00000170855
Astn1,Mettl14,ENSG00000145388
Agfg2,Ubtd1,ENSG00000165886
Rabgef1,Znrf1,ENSG00000186187
Cdk2,Rnd2,ENSG00000108830
Traf4,Nudt21,ENSG00000167005
Pamr1,Psmd2,ENSG00000175166
Il10rb,Btrc,ENSG00000166167
Helz2,Nck1,ENSG00000158092
Fam177a,Tmem98,ENSG00000006042
1700047I17Rik2,Atp6v1e1,ENSG00000131100
Cnn1,Tubg1,ENSG00000131462
Ablim1,Brk1,ENSG00000254999
Thbs2,Gng4,ENSG00000168243
Clec4a1,Npr2,ENSG00000159899
Bnc1,Cdk17,ENSG00000059758
Ccdc184,Stmn1,ENSG00000117632
Add3,Golph3,ENSG00000113384
Fam221a,Runx2,ENSG00000124813
Mafk,Ints3,ENSG00000143624
Thumpd3,Cdk9,ENSG00000136807
Txndc9,Trim3,ENSG00000110171
Igfbp6,Memo1,ENSG00000162959
Fam20a,Edf1,ENSG00000107223
Med26,Arpc1a,ENSG00000241685
9030617O03Rik,Gabbr1,ENSG00000204681
Ano9,Tm9sf3,ENSG00000077147
Rragb,Rae1,ENSG00000101146
5430416O09Rik,Ddx3x,ENSG00000215301
Maf,Chd4,ENSG00000111642
Ppp3cc,Impdh2,ENSG00000178035
Scn3a,Scn8a,ENSG00000196876
Itfg1,Srgap3,ENSG00000196220
Thap1,Smurf1,ENSG00000198742
Csrp2bp,Chmp5,ENSG00000086065
Nhlrc1,Ubl5,ENSG00000198258
Lix1,Drg2,ENSG00000108591
Slc14a1,Rybp,ENSG00000163602
Lmo4,Mbip,ENSG00000044574
Chst4,Hspa5,ENSG00000044574
Slc2a4,Eif3k,ENSG00000178982
Taf7,Atg101,ENSG00000123395
Ttll4,Ube2v2,ENSG00000169139
Nhlrc2,Aamp,ENSG00000127837
Igsf6,Eno2,ENSG00000111674
Col24a1,Msn,ENSG00000147065
Unc5a,Rab5c,ENSG00000108774
Trpc2,Eif1a,ENSG00000173674
Trib1,Mapk1,ENSG00000100030
Omd,Ctbp1,ENSG00000159692
Mamdc4,Pcmtd1,ENSG00000168300
Ephx1,Kcnf1,ENSG00000123700
Ift88,Kcnj2,ENSG00000123700
Mier2,Gtf2h5,ENSG00000272047
Tmem51,Zfand5,ENSG00000107372
Prr15l,Sptssa,ENSG00000165389
Lrrc8d,Plagl2,ENSG00000126003
Zfp958,Clp1,ENSG00000172409
Eapp,Vdac1,ENSG00000213585
Ssh2,Gjb1,ENSG00000169562
Gmip,Rab15,ENSG00000139998
Spg7,Nlgn3,ENSG00000196338
Uhrf2,Kdelr2,ENSG00000136240
C77080,Rab2a,ENSG00000104388
Slc2a3,Nr2f1,ENSG00000175745
Plod2,Epha4,ENSG00000116106
Cnn3,Mad2l2,ENSG00000116670
Ipcef1,Nova2,ENSG00000104967
Tmem178,Zdhhc17,ENSG00000186908
Neurl4,Bend5,ENSG00000162373
Thbd,Mb21d2,ENSG00000180611
4933439C10Rik,Narf,ENSG00000109654
1110058L19Rik,Trim2,ENSG00000109654
Ufm1,Gng8,ENSG00000167414
Ctsw,Slc17a7,ENSG00000104888
Il33,Rpl38,ENSG00000172809
Samd14,Stxbp6,ENSG00000168952
Ppl,Nxt1,ENSG00000132661
Hpx,Dusp7,ENSG00000164086
Doc2a,Cept1,ENSG00000134255
Lamc3,Med18,ENSG00000130772
Pira6,Kbtbd2,ENSG00000170852
Sox8,Glyr1,ENSG00000140632
Pam,Golt1b,ENSG00000111711
Tmem259,Rab8b,ENSG00000166128
Osmr,Atp6v1h,ENSG00000047249
Exoc3,Cnksr2,ENSG00000149970
Ap4m1,Adrbk1,ENSG00000173020
Tmem220,9130011E15Rik,ENSG00000120029
Ubash3b,1810013L24Rik,ENSG00000182831
Elk3,Ptprk,ENSG00000152894
Eif4ebp1,Eif3d,ENSG00000100353
A630001G21Rik,Mgat4b,ENSG00000161013
Vps18,Rpl28,ENSG00000108107
Akt2,Cpsf3,ENSG00000119203
Zfand2a,Clip3,ENSG00000105270
Cdo1,Psmb3,ENSG00000277791
Mlxip,Spsb1,ENSG00000171621
H2afy,Faxc,ENSG00000146267
Nr1d2,Pak3,ENSG00000077264
Tead2,Pi4kb,ENSG00000143393
Ch25h,Dhx8,ENSG00000067596
Ntn4,Xpo4,ENSG00000132953
Clic1,Rab24,ENSG00000169228
Fig4,Snx27,ENSG00000143376
Rgs2,Brf1,ENSG00000185650
Pstpip1,Zfp36l1,ENSG00000185650
Wnt2b,Galnt18,ENSG00000110328
Lpar4,Cab39l,ENSG00000102547
Ccdc92,Ccdc85b,ENSG00000175602
Tnfsf13,Armc8,ENSG00000114098
Tgfbr3,Dclk1,ENSG00000133083
Alkbh4,Rpl3,ENSG00000100316
Cml1,Snx17,ENSG00000115234
Zfp276,Cdk14,ENSG00000058091
Cog8,Mta2,ENSG00000149480
Ptdss1,Sox21,ENSG00000100146
Ccdc36,Csde1,ENSG00000009307
Arhgef39,Wbscr17,ENSG00000185274
Dmd,Diras2,ENSG00000165023
Arhgap44,Rerg,ENSG00000134533
Gmpr2,Nf2,ENSG00000186575
S1pr1,Ift20,ENSG00000109083
Phf12,Pomgnt1,ENSG00000085998
Trim54,Actr6,ENSG00000075089
AA467197,Gatad2b,ENSG00000143614
Pld6,Dlg4,ENSG00000132535
Gng10,Prmt8,ENSG00000111218
Cybb,Leprotl1,ENSG00000104660
Rab39b,Serbp1,ENSG00000142864
Maz,Usp9x,ENSG00000124486
Tusc3,Spryd7,ENSG00000123178
Gm5595,Elavl1,ENSG00000066044
Pcdh7,Kcnma1,ENSG00000156113
Tldc1,Fam168b,ENSG00000152102
Asz1,Cul5,ENSG00000166266
Tal1,Fbxw2,ENSG00000119402
Anks1,Kctd9,ENSG00000104756
Zfp619,Ybx1,ENSG00000065978
Gpr156,Rdx,ENSG00000137710
D17Wsu104e,Dcaf12,ENSG00000198876
Zfp605,Shoc2,ENSG00000108061
Mogs,Cadm4,ENSG00000105767
Scamp3,Nf1,ENSG00000196712
Psmb9,Snf8,ENSG00000159210
Glrb,1110008F13Rik,ENSG00000101084
Vegfb,H2afj,ENSG00000246705
Enc1,H2-Ke2,ENSG00000204220
2410004B18Rik,Copa,ENSG00000122218
Icam2,Exoc5,ENSG00000070367
Metap1,Bcl2l2,ENSG00000129473
Ccdc97,Hpcal1,ENSG00000115756
Gemin8,Plcxd3,ENSG00000182836
Smox,Rarb,ENSG00000077092
Ebf4,Rnf185,ENSG00000138942
Slc24a2,Eif3g,ENSG00000130811
Acoxl,Klhl18,ENSG00000114648
Tmem151a,Ap2a1,ENSG00000196961
Adhfe1,Acvr1,ENSG00000115170
Drap1,Gfpt1,ENSG00000198380
Lrp8,Sptan1,ENSG00000197694
Robo4,Sox2,ENSG00000181449
Zim1,Frmd5,ENSG00000171877
Prrt2,Nprl2,ENSG00000114388
Tmem102,Wnt5a,ENSG00000114251
Zrsr1,Mllt3,ENSG00000171843
Otx1,Ddx23,ENSG00000174243
Pnrc1,Arntl,ENSG00000133794
Stk11,Kctd10,ENSG00000110906
Wdr92,Tspan7,ENSG00000156298
A630033H20Rik,Upf1,ENSG00000005007
Cramp1l,Galnt1,ENSG00000141429
Phf21b,Wasf1,ENSG00000112290
Prkg2,Jup,ENSG00000173801
Akr1c14,Parva,ENSG00000197702
Tifa,Iqsec2,ENSG00000124313
Zfp820,H2afy,ENSG00000113648
A230072C01Rik,H2afy2,ENSG00000099284
Slc15a3,Usf1,ENSG00000158773
Itih3,Ammecr1l,ENSG00000144233
Mfsd2b,Kcna1,ENSG00000111262
Ttc8,Naa15,ENSG00000164134
Ltv1,Mnat1,ENSG00000164134
Bach2,Atp6v1d,ENSG00000100554
Nr3c2,Rnf182,ENSG00000180537
Apold1,Lhfpl4,ENSG00000156959
Myh11,Hspa9,ENSG00000113013
Podxl,Dock4,ENSG00000128512
Ppp1r9b,Dnm1,ENSG00000106976
Npas3,Lpar4,ENSG00000147145
Bspry,Usp12,ENSG00000152484
Slc25a24,Nsg1,ENSG00000168824
4933426M11Rik,Fzr1,ENSG00000105325
Ica1,Ank,ENSG00000154122
Rexo4,Snrnp25,ENSG00000161981
Pigp,Rpl35,ENSG00000136942
Scn2a1,Prox1,ENSG00000117707
Gpsm2,Cdk5r1,ENSG00000176749
Tbc1d10b,Fbxl7,ENSG00000183580
Pan2,Smad4,ENSG00000141646
Pth1r,Usp5,ENSG00000111667
Tmem194b,Fxr2,ENSG00000129245
Pstk,Mlx,ENSG00000108788
Olfml2b,Flot1,ENSG00000137312
Tcof1,Rbm14,ENSG00000239306
Pddc1,Pptc7,ENSG00000196850
Trip4,Hoxb8,ENSG00000120068
Gcc2,Cpeb4,ENSG00000113742
Lcp2,Arl3,ENSG00000138175
Lsm14b,Zdhhc9,ENSG00000188706
Fli1,Olfm1,ENSG00000130558
Ppm1e,Kcnj8,ENSG00000121361
Ikbkg,Ensa,ENSG00000143420
Eml1,Matr3,ENSG00000015479
Cpne8,Ptx3,ENSG00000107859
C1qtnf7,Pcbp2,ENSG00000197111
Psmc2,Clic1,ENSG00000213719
Pde10a,G3bp2,ENSG00000138757
Nfam1,Abi1,ENSG00000136754
Pdzrn4,Akt1,ENSG00000142208
Fopnl,Trappc3,ENSG00000054116
Zfp64,Rgs8,ENSG00000135824
Olfr1372-ps1,Nr6a1,ENSG00000148200
Dnm1l,Tenm3,ENSG00000218336
Pou2f2,Btk,ENSG00000010671
Fgf11,Ap3m2,ENSG00000070718
Pacrgl,Pdp1,ENSG00000164951
Fendrr,Nr2c2,ENSG00000177463
Slc22a4,Prkci,ENSG00000163558
Kmt2a,Atp6v1f,ENSG00000128524
Mansc1,Ppil2,ENSG00000100027
Zfp606,Snrnp40,ENSG00000060688
Gnb4,Srsf7,ENSG00000115875
Stx11,Ypel1,ENSG00000100027
Vbp1,Nrbp1,ENSG00000115216
Nkx2-1,Tmem178,ENSG00000152154
Sbno2,Pparg,ENSG00000132170
Prss12,Atp2b2,ENSG00000157087
Prr3,Gnai2,ENSG00000114353
Irf2bp2,Gnaz,ENSG00000128266
Nup62cl,Sptbn1,ENSG00000115306
Eif2s3y,Elf1,ENSG00000115306
Ptms,Elf3,ENSG00000115306
Rilpl2,Napa,ENSG00000105402
Neat1,Homer1,ENSG00000152413
Smim3,Gnai3,ENSG00000065135
Selenbp2,Zfp423,ENSG00000102935
Syne4,Satb1,ENSG00000182568
Pnpt1,Vps25,ENSG00000131475
Mamdc2,Dazap1,ENSG00000071626
Abcd2,Hspa2,ENSG00000126803
Eif5a2,Polr2k,ENSG00000147669
Pcnxl3,Tusc3,ENSG00000104723
Myd88,Flnc,ENSG00000128591
Igsf8,Vprbp,ENSG00000145041
Ints12,Rxrg,ENSG00000143171
Dner,Cacnb4,ENSG00000182389
B4galt3,Mcrs1,ENSG00000187778
Cthrc1,Rara,ENSG00000131759
Phf23,Snx5,ENSG00000089006
Tceanc2,Stx1a,ENSG00000106089
Pyurf,Tmem246,ENSG00000165152
Taf1a,Rplp2-ps1,ENSG00000177600
4931414P19Rik,Wdr45b,ENSG00000141580
Lrrn4,Capza2,ENSG00000198898
Foxl1,Trib2,ENSG00000071575
Gm9079,Wdfy2,ENSG00000139668
Evi2b,Nrxn2,ENSG00000110076
Myoz3,Isy1,ENSG00000240682
Pde3a,Ccny,ENSG00000108100
Ralgapa1,Ei24,ENSG00000149547
Cep83os,Atp1a2,ENSG00000018625
Cd244,Fermt2,ENSG00000073712
Il34,Ppp2r3c,ENSG00000092020
Surf2,Copb2,ENSG00000184432
Sco2,Vdac3,ENSG00000078668
Tecpr1,Anapc7,ENSG00000196510
Rtp3,Fam50a,ENSG00000071859
Tbccd1,Armc1,ENSG00000104442
Glis2,Srgap2,ENSG00000266028
Cacna1d,Naa50,ENSG00000121579
Glrx,Kif5c,ENSG00000168280
Skint3,Ugcg,ENSG00000148154
Eps8l1,Pcdh9,ENSG00000184226
Sptbn2,Acvr1b,ENSG00000135503
2810403A07Rik,Ncdn,ENSG00000020129
Zc3h3,Nap1l1,ENSG00000187109
Epha7,Dpf2,ENSG00000133884
Tbx18,Bmpr1b,ENSG00000138696
Vps4b,Pdha1,ENSG00000131828
Neil3,Gfod1,ENSG00000145990
Gm1821,Nlgn2,ENSG00000169992
Axin1,Cggbp1,ENSG00000163320
Sae1,Vps52,ENSG00000223501
Lekr1,Mtch1,ENSG00000137409
Ccr2,Fzd3,ENSG00000104290
Lmcd1,Tubgcp4,ENSG00000137822
Fgf18,Tmem63b,ENSG00000137216
Aars2,Ppil1,ENSG00000137168
Gigyf2,Srsf9,ENSG00000111786
Lama5,Cmip,ENSG00000153815
AI317395,Metap1,ENSG00000164024
Dcbld1,Dvl3,ENSG00000161202
Meis3,Timp2,ENSG00000035862
Nat14,Pbrm1,ENSG00000163939
Adat2,Fgfr1,ENSG00000077782
Gpr176,Slc12a6,ENSG00000140199
Trrap,Trappc4,ENSG00000196655
Slc25a28,Gabpb1,ENSG00000104064
Cpsf6,Ergic3,ENSG00000125991
Ky,Mios,ENSG00000164654
Zfp146,Gpm6b,ENSG00000046653
Myo3b,Eef1g,ENSG00000254772
Higd2a,Rtf1,ENSG00000137815
Whrn,Arglu1,ENSG00000134884
Gm11696,Ppm1a,ENSG00000100614
Mmp19,Atp6v1c1,ENSG00000155097
Dot1l,Trrap,ENSG00000196367
Nelfcd,Rnf121,ENSG00000137522
Slc9a2,Dusp6,ENSG00000139318
Fstl3,Srsf5,ENSG00000100650
Gm15645,Dnm2,ENSG00000079805
Sost,Ubap2l,ENSG00000143569
Vsnl1,Dok4,ENSG00000125170
Sf3a2,Gan,ENSG00000261609
Nubpl,Eif4e,ENSG00000151247
Hoxd8,Nrxn3,ENSG00000021645
Slc12a9,Itpr1,ENSG00000150995
Rftn1,Dscaml1,ENSG00000177103
Snrnp70,Mob3b,ENSG00000120162
1700023L04Rik,Rab5a,ENSG00000144566
Exoc7,Ppil3,ENSG00000240344
Xpo6,Eaf1,ENSG00000144597
Pax5,Sestd1,ENSG00000187231
Atp6v1f,3110043O21Rik,ENSG00000147894
Ablim2,Akt2,ENSG00000105221
Prune2,Coro2b,ENSG00000103647
Aida,Smad7,ENSG00000101665
Taf1b,Cast,ENSG00000187672
Vpreb3,Erc2,ENSG00000187672
Appl1,Nsf,ENSG00000073969
Dcaf17,Zyg11b,ENSG00000162378
Ostm1,Ptprd,ENSG00000153707
Suv39h2,Ublcp1,ENSG00000164332
Fmo3,Atp8a1,ENSG00000124406
2510009E07Rik,Esrra,ENSG00000173153
Men1,Sf3a1,ENSG00000099995
Rab3il1,Pithd1,ENSG00000057757
Plekhg3,Rpl13,ENSG00000167526
Steap1,Pcyt1b,ENSG00000102230
Tnfrsf21,Pcdh17,ENSG00000118946
Efcab4b,Tmem50b,ENSG00000142188
H2-Q2,Psma1,ENSG00000129084
St3gal6,C2,ENSG00000129084
Slc2a1,Zfp362,ENSG00000160094
Sh3bp2,Calu,ENSG00000128595
Ddx3y,Eif2s3x,ENSG00000180574
Msln,Prpf6,ENSG00000101161
Bub1b,Ipo5,ENSG00000065150
Gm7120,Uck2,ENSG00000143179
Casp8,Prkra,ENSG00000180228
Cox7a1,Vezf1,ENSG00000136451
Hspa12b,Wdr48,ENSG00000114742
Pcnt,Osr2,ENSG00000164920
Arl8a,Mafk,ENSG00000198517
Serpind1,2610018G03Rik,ENSG00000134602
5930430L01Rik,Pln,ENSG00000198523
Ier5,Purb,ENSG00000146676
Csf1,Cacna2d3,ENSG00000157445
Pla2g4f,Ppfia3,ENSG00000177380
Fam107b,Snx2,ENSG00000205302
4732471J01Rik,Dmap1,ENSG00000178028
Srsf9,Hnrnpf,ENSG00000169813
Dynlt1a,Kcnab2,ENSG00000069424
Pet112,Jkamp,ENSG00000050130
Syn3,Ubr5,ENSG00000104517
Ikbkap,Pcgf1,ENSG00000115289
Suclg1,Pias2,ENSG00000078043
Plac9a,Fgf18,ENSG00000156427
Zbtb6,Arrdc3,ENSG00000113369
Tmem258,Fxr1,ENSG00000114416
Ctla2b,Mesdc1,ENSG00000140406
Zmat1,Klhl32,ENSG00000186231
Slc29a2,Far1,ENSG00000197601
Fgf9,Gmppb,ENSG00000173540
Cilp,Atp6v1a,ENSG00000114573
Masp1,Scn2a1,ENSG00000136531
Spdya,Tmem101,ENSG00000091947
Yeats2,4921524J17Rik,ENSG00000155330
Cul2,Fam76a,ENSG00000009780
Cnbd2,Dnajb11,ENSG00000090520
Palmd,Tlk1,ENSG00000198586
Fip1l1,Xpo1,ENSG00000082898
Tmem110,Snrpa1,ENSG00000131876
Bcl7a,Polr3h,ENSG00000100413
Otud5,Rbm5,ENSG00000003756
Vegfc,Sin3a,ENSG00000169375
Ankrd54,Brpf1,ENSG00000156983
Cdc42se1,Tspan12,ENSG00000106025
Nsun5,Zmiz1,ENSG00000108175
Slc2a4rg-ps,Supt6,ENSG00000109111
Rhobtb1,Pip4k2a,ENSG00000150867
Rgag1,Rhot1,ENSG00000126858
Tmem45a,Nme2,ENSG00000243678
Havcr2,Appl1,ENSG00000157500
Slco3a1,Mmp16,ENSG00000156103
Khnyn,Rarg,ENSG00000172819
Brpf3,Lrp6,ENSG00000070018
Tab2,Prkaca,ENSG00000072062
Adprh,Ppp1r8,ENSG00000117751
Arsi,Fam118b,ENSG00000197798
Sult1d1,Pias1,ENSG00000033800
Dusp3,Acly,ENSG00000131473
Clcn4-2,Pde6d,ENSG00000156973
Usp10,Becn1,ENSG00000126581
Ccdc89,Mtor,ENSG00000198793
Tmem25,Lrp1,ENSG00000123384
Vipr1,Epha7,ENSG00000135333
Adcy4,Kif3b,ENSG00000101350
Slc6a2,Gtf2f2,ENSG00000188342
Creb3l1,Chmp1b,ENSG00000255112
Unc5b,Ptprt,ENSG00000196090
Nov,Gdi1,ENSG00000203879
Iffo1,Dpy30,ENSG00000162961
Scin,Gmps,ENSG00000163655
Rnf152,Usf2,ENSG00000105698
Oacyl,Klhl2,ENSG00000109466
Recql,Nfib,ENSG00000147862
Ocln,Ncbp1,ENSG00000136937
Mettl9,Rnf24,ENSG00000101236
Spib,Srgap1,ENSG00000196935
Alox5,Pik3c3,ENSG00000078142
Suv420h2,Strip1,ENSG00000143093
Prr12,Sfrp2,ENSG00000145423
Mn1,Prkce,ENSG00000171132
Gatm,Dync1i2,ENSG00000077380
Slc5a8,Lhx6,ENSG00000106852
Nptxr,Syt7,ENSG00000011347
Ccdc9,Cpsf2,ENSG00000165934
Cep290,Ccdc101,ENSG00000176476
Sync,Hnrnpc,ENSG00000092199
Gins3,Yipf4,ENSG00000119820
Cxxc4,Ablim3,ENSG00000173210
Nr1h2,Rbpj,ENSG00000168214
Basp1,Morn4,ENSG00000171160
Polrmt,Psmd6,ENSG00000163636
4833412C05Rik,Trp63,ENSG00000073282
Dusp26,Imp4,ENSG00000136718
Vps35,Csrp3,ENSG00000129170
Abcc5,Dpf1,ENSG00000011332
Hdac4,Bmpr1a,ENSG00000107779
Degs2,Nxn,ENSG00000167693
Abca8a,Ccdc47,ENSG00000108588
BC018242,Scamp1,ENSG00000085365
Ntrk3,Ppme1,ENSG00000214517
Frat1,Zcchc24,ENSG00000165424
Entpd7,Stx3,ENSG00000166900
Zfp110,Eri3,ENSG00000117419
Tmem255a,Iglon5,ENSG00000142549
Ap5s1,Dynlrb2,ENSG00000168589
Jmjd7,Gata2,ENSG00000179348
4930579G24Rik,Luc7l3,ENSG00000108848
Snhg8,Sec11c,ENSG00000166562
Bin2,Polr3a,ENSG00000148606
